category,lin,lout
open_qa,10,24
open_qa,24,8
open_qa,12,6
open_qa,6,102
open_qa,16,25
open_qa,16,16
open_qa,15,3
open_qa,8,9
open_qa,5,93
open_qa,9,13
open_qa,11,2
open_qa,9,84
open_qa,5,180
open_qa,7,3
open_qa,10,335
open_qa,6,105
creative_writing,10,411
open_qa,7,20
open_qa,5,30
open_qa,10,11
open_qa,20,3
open_qa,9,3
open_qa,9,7
creative_writing,19,161
open_qa,9,255
open_qa,6,35
open_qa,13,27
open_qa,9,43
open_qa,5,69
open_qa,9,13
open_qa,6,99
creative_writing,31,468
open_qa,5,200
open_qa,13,31
open_qa,11,2
creative_writing,17,136
open_qa,22,223
open_qa,23,3
open_qa,14,261
open_qa,10,109
open_qa,5,30
creative_writing,8,251
open_qa,9,94
open_qa,15,191
creative_writing,12,75
open_qa,6,291
open_qa,13,59
open_qa,7,17
open_qa,10,11
open_qa,11,26
creative_writing,21,179
open_qa,12,4
creative_writing,11,454
open_qa,10,95
open_qa,18,35
open_qa,14,70
open_qa,17,5
open_qa,5,18
creative_writing,39,994
open_qa,12,29
open_qa,11,49
open_qa,11,89
open_qa,11,57
open_qa,13,136
open_qa,10,204
open_qa,67,51
open_qa,5,126
open_qa,15,19
open_qa,15,22
open_qa,6,7
open_qa,10,24
open_qa,4,48
open_qa,6,76
creative_writing,17,81
open_qa,6,29
open_qa,5,71
open_qa,11,3
open_qa,6,520
open_qa,7,12
open_qa,15,60
open_qa,10,25
open_qa,12,47
open_qa,14,48
open_qa,11,31
creative_writing,60,63
creative_writing,11,204
creative_writing,14,201
open_qa,11,93
open_qa,10,21
open_qa,13,15
open_qa,19,5
open_qa,8,24
open_qa,14,18
open_qa,6,1
open_qa,6,158
open_qa,13,3
open_qa,10,74
open_qa,10,45
open_qa,10,8
open_qa,10,48
open_qa,8,48
creative_writing,7,639
open_qa,7,4
open_qa,9,156
open_qa,12,14
open_qa,9,84
creative_writing,12,98
open_qa,12,169
open_qa,7,12
open_qa,5,87
creative_writing,12,26
open_qa,5,31
open_qa,12,6
open_qa,8,4
open_qa,16,12
open_qa,4,123
open_qa,7,26
open_qa,6,285
open_qa,15,84
open_qa,17,4
open_qa,14,13
creative_writing,24,214
open_qa,5,48
open_qa,6,115
open_qa,15,4
open_qa,11,4
open_qa,11,34
open_qa,17,22
creative_writing,12,183
creative_writing,9,29
open_qa,8,121
creative_writing,8,109
creative_writing,10,100
open_qa,11,35
open_qa,7,62
open_qa,11,36
open_qa,5,66
open_qa,12,154
open_qa,12,11
open_qa,6,26
open_qa,8,1
open_qa,10,122
open_qa,7,184
open_qa,6,282
open_qa,8,7
open_qa,12,4
creative_writing,22,315
open_qa,9,1
open_qa,9,42
open_qa,9,26
creative_writing,10,216
open_qa,6,39
open_qa,6,30
open_qa,7,34
open_qa,7,21
open_qa,5,60
open_qa,6,44
open_qa,4,36
open_qa,21,1
open_qa,4,33
open_qa,5,94
creative_writing,23,113
open_qa,19,39
open_qa,9,84
open_qa,6,102
creative_writing,7,113
open_qa,8,10
open_qa,14,55
open_qa,9,233
open_qa,8,6
open_qa,11,3
open_qa,17,17
open_qa,6,144
open_qa,10,44
open_qa,4,54
open_qa,12,60
creative_writing,11,339
open_qa,11,71
open_qa,13,32
creative_writing,24,181
open_qa,15,125
open_qa,11,12
creative_writing,16,420
open_qa,16,64
creative_writing,11,266
open_qa,13,95
open_qa,6,385
open_qa,15,15
open_qa,8,7
creative_writing,8,76
open_qa,13,15
open_qa,8,17
open_qa,4,87
open_qa,11,62
open_qa,10,109
creative_writing,6,148
open_qa,25,93
creative_writing,7,894
open_qa,7,14
open_qa,9,2
creative_writing,20,59
open_qa,9,95
open_qa,12,63
open_qa,14,18
open_qa,14,15
open_qa,10,41
open_qa,5,56
open_qa,5,43
open_qa,11,16
open_qa,8,39
open_qa,11,70
creative_writing,13,222
open_qa,11,79
open_qa,14,49
open_qa,19,11
open_qa,10,49
open_qa,10,298
open_qa,8,23
open_qa,11,22
open_qa,8,9
open_qa,16,26
open_qa,12,11
open_qa,11,20
open_qa,6,25
open_qa,17,4
creative_writing,42,76
open_qa,10,3
open_qa,8,12
open_qa,7,452
open_qa,8,42
creative_writing,10,90
open_qa,10,24
open_qa,6,34
open_qa,7,23
creative_writing,7,132
open_qa,9,119
creative_writing,20,86
open_qa,15,2
open_qa,11,11
open_qa,9,1
creative_writing,12,49
open_qa,12,34
creative_writing,11,114
creative_writing,26,550
creative_writing,9,202
open_qa,5,52
open_qa,19,27
open_qa,14,121
open_qa,9,4
open_qa,22,5
open_qa,5,107
open_qa,6,137
open_qa,6,46
open_qa,9,34
creative_writing,9,248
open_qa,11,95
open_qa,17,24
open_qa,8,224
creative_writing,11,133
open_qa,9,13
creative_writing,20,130
creative_writing,46,179
creative_writing,14,243
open_qa,14,23
open_qa,6,23
open_qa,10,61
creative_writing,11,68
open_qa,7,4
open_qa,8,56
open_qa,11,110
open_qa,6,19
