L,nhead,dhead,dbyte,power_constraint,cycle,mac,softmax,mvgb,mvsb,wrgb
2048,20,128,2,True,7523,7696,20,1280,1440,160
2049,17,128,2,True,7795,6612,17,1222,1360,128
2050,17,128,2,True,7795,6612,17,1222,1360,128
2051,17,128,2,True,7795,6612,17,1222,1360,128
2052,15,128,2,True,3798,5820,15,1080,1200,120
2053,15,128,2,True,3798,5820,15,1080,1200,120
2054,15,128,2,True,3798,5820,15,1080,1200,120
2055,15,128,2,True,3798,5820,15,1080,1200,120
2056,15,128,2,True,3798,5820,15,1080,1200,120
2057,15,128,2,True,3798,5820,15,1080,1200,120
2058,15,128,2,True,3798,5820,15,1080,1200,120
2059,12,128,2,True,3798,4656,12,864,960,96
2060,12,128,2,True,3798,4656,12,864,960,96
2061,12,128,2,True,3798,4656,12,864,960,96
2062,12,128,2,True,3798,4656,12,864,960,96
2063,12,128,2,True,3798,4656,12,864,960,96
2064,12,128,2,True,3798,4656,12,864,960,96
2065,10,128,2,True,3814,3900,10,720,800,80
2066,10,128,2,True,3814,3900,10,720,800,80
2067,10,128,2,True,3814,3900,10,720,800,80
2068,10,128,2,True,3814,3900,10,720,800,80
2069,10,128,2,True,3814,3900,10,720,800,80
2070,10,128,2,True,3814,3900,10,720,800,80
2071,10,128,2,True,3814,3900,10,720,800,80
2072,10,128,2,True,3814,3900,10,720,800,80
2073,10,128,2,True,3814,3900,10,720,800,80
2074,10,128,2,True,3814,3900,10,720,800,80
2075,10,128,2,True,3814,3900,10,720,800,80
2076,10,128,2,True,3814,3900,10,720,800,80
2077,10,128,2,True,3814,3900,10,720,800,80
2078,10,128,2,True,3814,3900,10,720,800,80
2079,10,128,2,True,3814,3900,10,720,800,80
2080,10,128,2,True,3814,3900,10,720,800,80
2081,10,128,2,True,3838,3940,10,720,800,80
2082,10,128,2,True,3838,3940,10,720,800,80
2083,10,128,2,True,3838,3940,10,720,800,80
2084,10,128,2,True,3838,3940,10,720,800,80
2085,10,128,2,True,3838,3940,10,720,800,80
2086,10,128,2,True,3838,3940,10,720,800,80
2087,10,128,2,True,3838,3940,10,720,800,80
2088,10,128,2,True,3838,3940,10,720,800,80
2089,10,128,2,True,3838,3940,10,720,800,80
2090,10,128,2,True,3838,3940,10,720,800,80
2091,10,128,2,True,3838,3940,10,720,800,80
2092,10,128,2,True,3838,3940,10,720,800,80
2093,10,128,2,True,3838,3940,10,720,800,80
2094,10,128,2,True,3838,3940,10,720,800,80
2095,10,128,2,True,3838,3940,10,720,800,80
2096,10,128,2,True,3838,3940,10,720,800,80
2097,10,128,2,True,3854,3960,10,720,800,80
2098,10,128,2,True,3854,3960,10,720,800,80
2099,10,128,2,True,3854,3960,10,720,800,80
2100,10,128,2,True,3854,3960,10,720,800,80
2101,10,128,2,True,3854,3960,10,720,800,80
2102,10,128,2,True,3854,3960,10,720,800,80
2103,10,128,2,True,3854,3960,10,720,800,80
2104,8,128,2,True,3854,3168,8,576,640,64
2105,8,128,2,True,3854,3168,8,576,640,64
2106,8,128,2,True,3854,3168,8,576,640,64
2107,8,128,2,True,3854,3168,8,576,640,64
2108,8,128,2,True,3854,3168,8,576,640,64
2109,8,128,2,True,3854,3168,8,576,640,64
2110,8,128,2,True,3854,3168,8,576,640,64
2111,8,128,2,True,3854,3168,8,576,640,64
2112,8,128,2,True,3854,3168,8,576,640,64
