hin,hout_per_hbm,batch,dbyte,power_constraint,cycle,mac,wrgb,rfgb
12288,36864,3,2,True,138563,442368,18432,6912
12288,12288,3,2,True,46951,147456,9216,4608
12288,49152,3,2,True,183040,589824,18432,9216
49152,12288,3,2,True,183040,589824,18432,9216
12288,36864,2,2,True,136553,294912,12288,4608
12288,12288,2,2,True,45726,98304,6144,3072
12288,49152,2,2,True,181199,393216,12288,6144
49152,12288,2,2,True,181199,393216,12288,6144
12288,36864,1,2,True,135001,147456,6144,2304
12288,12288,1,2,True,44945,49152,3072,1536
12288,49152,1,2,True,179651,196608,6144,3072
49152,12288,1,2,True,179651,196608,6144,3072
